sample_no,id,eriophyoids,p_fructiphilus,other_mites,rose_spp,symptoms,rrv,city,state,county,latitude,longitude,coordinates,collector,fdacs_report,date,day,month,year
13,3L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
14,4F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
15,4L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
16,5F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
17,5L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
18,6L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
19,7L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
20,8L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
21,uk bfd,0,No,0,Unknown,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-02-26T00:00:00Z,26,Feb,2017
22,1F tlhs,0,No,0,RC,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-02-26T00:00:00Z,26,Feb,2017
23,1L tlhs,0,No,0,RC,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-02-26T00:00:00Z,26,Feb,2017
24,1LA tlhs,0,No,0,RC,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-02-26T00:00:00Z,26,Feb,2017
25,1L wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
26,1 LA wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
27,1LB wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
28,2L wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
29,2F wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
30,3L wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
31,3F wkl,0,No,0,Rl,No,No,Hilliardville,FL,Wakulla,30.28456265,-84.39651401,"30.28456265, -84.39651401",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
32,4L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
33,4F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
34,5LA mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
35,5LB mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-17T00:00:00Z,17,Mar,2017
36,1LAuga,3,Yes,0,KO,Yes,Yes,Athens,GA,Leon,33.953889,-83.376944,"33.953889, -83.376944",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
37,1LBuga,4,Yes,0,KO,Yes,Yes,Athens,GA,Clarke,33.953889,-83.376945,"33.953889, -83.376945",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
38,2Luga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
39,2LAuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
40,2Fuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
41,3Luga,2,Yes,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
42,3LAuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
43,3Lbuga,1,Yes,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
44,4Luga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-18T00:00:00Z,18,Apr,2017
45,5Luga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-25T00:00:00Z,25,Apr,2017
46,5LaAuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-25T00:00:00Z,25,Apr,2017
47,6Luga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-24T00:00:00Z,24,Apr,2017
48,6LAuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-24T00:00:00Z,24,Apr,2017
49,7LAuga,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-24T00:00:00Z,24,Apr,2017
50,6LBUGA,0,No,0,RM,No,No,Athens,GA,Clarke,33.954548,-83.367407,"33.954548, -83.367407",Derrick Conover,NA,2017-04-24T00:00:00Z,24,Apr,2017
51,APK L,0,No,0,KO,Yes,Yes,South Apopka,FL,Orange,28.640823,-81.506149,"28.640823, -81.506149",Derrick Conover,NA,2017-06-01T00:00:00Z,01,Jun,2017
52,APK LA,0,No,0,KO,Yes,Yes,South Apopka,FL,Orange,28.640823,-81.506149,"28.640823, -81.506149",Derrick Conover,NA,2017-06-01T00:00:00Z,01,Jun,2017
53,APK LB,0,No,0,KO,Yes,Yes,South Apopka,FL,Orange,28.640823,-81.506149,"28.640823, -81.506149",Derrick Conover,NA,2017-06-01T00:00:00Z,01,Jun,2017
54,APK F,0,No,0,KO,Yes,Yes,South Apopka,FL,Orange,28.640823,-81.506149,"28.640823, -81.506149",Derrick Conover,NA,2017-06-01T00:00:00Z,01,Jun,2017
55,APK FA,0,No,0,KO,Yes,Yes,South Apopka,FL,Orange,28.640823,-81.506149,"28.640823, -81.506149",Derrick Conover,NA,2017-06-01T00:00:00Z,01,Jun,2017
56,GFNL1,2,Yes,0,KO,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
57,GFNF1,1,Yes,0,KO,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
58,GFN2L,1,No,0,KO,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
59,GFNF2,0,No,0,KO,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
60,GFNF4,0,No,0,KO,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
61,GFNL4,1,Yes,0,KO,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
62,GFNF5,0,No,0,KO,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
63,GFNL5,0,No,0,KO,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
64,GFNL3,0,No,0,Drift,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
65,GFNF3,0,No,0,Drift,No,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
66,GFNF6,0,No,0,Drift,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
67,GFN6L,0,No,0,Drift,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
68,GFNF7,0,No,0,Drift,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
69,GFNL7,0,No,0,Drift,Yes,Yes,East Griffin,GA,Spalding,33.262423,-84.285321,"33.262423, -84.285321",Derrick Conover,NA,2017-05-18T00:00:00Z,18,May,2017
138,James 101,0,No,0,KO,NA,NT,Quincy,FL,Gadsden,30.54276,-84.59516,"30.54276, -84.59516",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
139,James 102,0,No,0,KO,NA,NT,Quincy,FL,Gadsden,30.58847,-84.57825,"30.58847, -84.57825",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
140,James 103,0,No,8,KO,NA,NT,Quincy,FL,Gadsden,30.58454,-84.60728,"30.58454, -84.60728",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
141,James 104,0,No,0,KO,NA,NT,Quincy,FL,Gadsden,30.58529,-84.60083,"30.58529, -84.60083",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
142,James 105,0,No,1,KO,NA,NT,Quincy,FL,Gadsden,30.54349,-84.59547,"30.54349, -84.59547",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
143,James 106,0,No,0,KO,NA,NT,Quincy,FL,Gadsden,30.55314,-84.59217,"30.55314, -84.59217",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
144,James 107,0,No,0,KO,NA,NT,Quincy,FL,Gadsden,30.59133,-84.6431,"30.59133, -84.6431",James Brannin,NA,2019-02-13T00:00:00Z,13,Feb,2019
145,James 108,10,Yes,2,KO,NA,NT,Tallahassee,FL,Leon,30.448,-84.30567,"30.448, -84.30567",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
146,James 109,27,Yes,1,KO,NA,NT,Tallahassee,FL,Leon,30.44624,-84.30402,"30.44624, -84.30402",James Brannin,E2019-3312-1,2019-02-14T00:00:00Z,14,Feb,2019
147,James 110,2,Yes,2,KO,NA,NT,Tallahassee,FL,Leon,30.44613,-84.30448,"30.44613, -84.30448",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
148,James 111,7,Yes,1,KO,NA,NT,Tallahassee,FL,Leon,30.4457,-84.30291,"30.4457, -84.30291",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
149,James 112,5,Yes,3,KO,NA,NT,Tallahassee,FL,Leon,30.44433,-84.2999,"30.44433, -84.2999",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
150,James 113,0,No,0,KO,NA,NT,Tallahassee,FL,Leon,30.50561,-84.25085,"30.50561, -84.25085",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
151,James 114,1,Yes,16,KO,NA,NT,Tallahassee,FL,Leon,30.45372,-84.27879,"30.45372, -84.27879",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
152,James 115,0,No,7,KO,NA,NT,Tallahassee,FL,Leon,30.46685,-84.28515,"30.46685, -84.28515",James Brannin,NA,2019-02-14T00:00:00Z,14,Feb,2019
153,James 116,0,No,0,KO,NA,NT,Midway,FL,Gadsden,30.44003,-84.30833,"30.44003, -84.30833",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
154,James 117,0,No,0,KO,NA,NT,Tallahassee,FL,Leon,30.43287,-84.29028,"30.43287, -84.29028",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
155,James 118,0,No,4,KO,NA,NT,Tallahassee,FL,Leon,30.42997,-84.28971,"30.42997, -84.28971",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
156,James 119,0,No,5,KO,NA,NT,Tallahassee,FL,Leon,30.42167,-84.28861,"30.42167, -84.28861",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
157,James 120,0,No,2,KO,NA,NT,Tallahassee,FL,Leon,30.43787,-84.27613,"30.43787, -84.27613",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
158,James 121,0,No,0,KO,NA,NT,Tallahassee,FL,Leon,30.44676,-84.21275,"30.44676, -84.21275",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
159,James 122,0,No,0,KO,NA,NT,Tallahassee,FL,Leon,30.44734,-84.21749,"30.44734, -84.21749",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
160,James 123,0,No,2,KO,NA,NT,Tallahassee,FL,Leon,30.44946,-84.21951,"30.44946, -84.21951",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
161,James 124,0,No,1,KO,NA,NT,Tallahassee,FL,Leon,30.46036,-84.22835,"30.46036, -84.22835",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
162,James 125,0,No,0,KO,NA,NT,Midway,FL,Gadsden,30.45217,-84.33569,"30.45217, -84.33569",James Brannin,NA,2019-02-19T00:00:00Z,19,Feb,2019
163,Fife 126,0,No,0,NA,NA,NT,Havana,FL,Gadsden,30.62429,-84.41504,"30.62429, -84.41504",Austin Fife,NA,2019-04-16T00:00:00Z,16,Apr,2019
164,Fife 127,0,No,7,NA,NA,NT,Havana,FL,Gadsden,30.62458,-84.41348,"30.62458, -84.41348",Austin Fife,NA,2019-04-16T00:00:00Z,16,Apr,2019
165,Fife 128,0,No,0,NA,NA,NT,Havana,FL,Gadsden,30.62466,-84.41572,"30.62466, -84.41572",Austin Fife,NA,2019-04-16T00:00:00Z,16,Apr,2019
166,Fife 129,0,No,33,NA,NA,NT,Havana,FL,Gadsden,30.62564,-84.4155,"30.62564, -84.4155",Austin Fife,NA,2019-04-16T00:00:00Z,16,Apr,2019
167,Fife 130,0,No,9,NA,NA,NT,Havana,FL,Gadsden,30.63087,-84.41529,"30.63087, -84.41529",Austin Fife,NA,2019-04-16T00:00:00Z,16,Apr,2019
168,Fife 131,0,No,0,NA,NA,NT,Gretna,FL,Gadsden,30.61955,-84.663,"30.61955, -84.663",Austin Fife,NA,2019-04-30T00:00:00Z,30,Apr,2019
169,Fife 132,0,No,5,NA,NA,NT,Gretna,FL,Gadsden,30.61955,-84.66302,"30.61955, -84.66302",Austin Fife,NA,2019-04-30T00:00:00Z,30,Apr,2019
193,FDACS 1,1,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446288,-84.305026,"30.446288, -84.305026","Larry (Mo) Violett, Michael Bentley",E2019-3807-1,2019-07-08T00:00:00Z,08,Jul,2019
194,FDACS 2,1,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.4480882,-84.3056683,"30.4480882,-84.3056683","Larry (Mo) Violett, Michael Bentley",E2019-3808-1,2019-07-08T00:00:00Z,08,Jul,2019
195,FDACS 3,1,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446145,-84.303998000000007,"30.446145, -84.303998","Larry (Mo) Violett, Michael Bentley",E2019-3809-1,2019-07-08T00:00:00Z,08,Jul,2019
196,FSU 1,119,No,0,KO,No,NT,Tallahassee,FL,Leon,30.444701,-84.307128,"30.444701, -84.307128",Austin Fife,E2019-4908-1,2019-07-16T00:00:00Z,16,Jul,2019
197,FSU 2,322,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.444911,-84.306901,"30.444911, -84.306901",Austin Fife,E2019-4909-1,2019-07-16T00:00:00Z,16,Jul,2019
198,FSU 3,348,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445131,-84.307119,"30.445131, -84.307119",Austin Fife,E2019-4910-1,2019-07-16T00:00:00Z,16,Jul,2019
199,FSU 4,183,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.447952,-84.305676,"30.447952, -84.305676",Austin Fife,E2019-4911-1,2019-07-16T00:00:00Z,16,Jul,2019
200,FSU 5,91,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.44807,-84.305285,"30.44807, -84.305285",Austin Fife,E2019-4912-1,2019-07-16T00:00:00Z,16,Jul,2019
201,FSU 6,204,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.448083,-84.305295,"30.448083, -84.305295",Austin Fife,E2019-4913-1,2019-07-16T00:00:00Z,16,Jul,2019
202,FSU 7,114,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.447717,-84.305422,"30.447717, -84.305422",Austin Fife,E2019-4914-1,2019-07-16T00:00:00Z,16,Jul,2019
203,FSU 8,83,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.44767,-84.305618,"30.44767, -84.305618",Austin Fife,E2019-4915-1,2019-07-16T00:00:00Z,16,Jul,2019
204,FSU 9,70,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446396,-84.305918,"30.446396, -84.305918",Austin Fife,E2019-4916-1,2019-07-16T00:00:00Z,16,Jul,2019
205,FSU 10,181,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446413,-84.306102,"30.446413, -84.306102",Austin Fife,E2019-4917-1,2019-07-16T00:00:00Z,16,Jul,2019
206,FSU 11,148,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446344,-84.30625,"30.446344, -84.30625",Austin Fife,E2019-4918-1,2019-07-16T00:00:00Z,16,Jul,2019
207,FSU 12,189,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446447,-84.306049,"30.446447, -84.306049",Austin Fife,E2019-4919-1,2019-07-16T00:00:00Z,16,Jul,2019
208,FSU 13,226,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446498,-84.305464,"30.446498, -84.305464",Austin Fife,E2019-4920-1,2019-07-16T00:00:00Z,16,Jul,2019
209,FSU 14,135,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446043,-84.304534,"30.446043, -84.304534",Austin Fife,E2019-4921-1,2019-07-16T00:00:00Z,16,Jul,2019
210,FSU 15,117,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446166,-84.304038,"30.446166, -84.304038",Austin Fife,E2019-4922-1,2019-07-16T00:00:00Z,16,Jul,2019
211,FSU 16,141,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.446025,-84.303162,"30.446025, -84.303162",Austin Fife,E2019-4923-1,2019-07-16T00:00:00Z,16,Jul,2019
212,FSU 17,94,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.44567,-84.30292,"30.44567, -84.30292",Austin Fife,E2019-4924-1,2019-07-16T00:00:00Z,16,Jul,2019
213,FSU 18,245,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.444348,-84.305181,"30.444348, -84.305181",Austin Fife,E2019-4925-1,2019-07-16T00:00:00Z,16,Jul,2019
214,FSU 19,107,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.444347,-84.305322,"30.444347, -84.305322",Austin Fife,E2019-4926-1,2019-07-16T00:00:00Z,16,Jul,2019
215,FSU 20,146,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.443949,-84.305017,"30.443949, -84.305017",Austin Fife,E2019-4927-1,2019-07-16T00:00:00Z,16,Jul,2019
216,FSU 21,231,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.444014,-84.305436,"30.444014, -84.305436",Austin Fife,E2019-4928-1,2019-07-16T00:00:00Z,16,Jul,2019
217,FSU 22,164,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445459,-84.305387,"30.445459, -84.305387",Austin Fife,E2019-4929-1,2019-07-16T00:00:00Z,16,Jul,2019
218,FSU 23,75,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.44545,-84.305353,"30.44545, -84.305353",Austin Fife,E2019-4930-1,2019-07-16T00:00:00Z,16,Jul,2019
219,FSU 24,88,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445353,-84.305139,"30.445353, -84.305139",Austin Fife,E2019-4931-1,2019-07-16T00:00:00Z,16,Jul,2019
220,FSU 25,133,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445358,-84.305218,"30.445358, -84.305218",Austin Fife,E2019-4932-1,2019-07-16T00:00:00Z,16,Jul,2019
221,FSU 26,101,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445375,-84.305195,"30.445375, -84.305195",Austin Fife,E2019-4933-1,2019-07-16T00:00:00Z,16,Jul,2019
222,FSU 27,97,Yes,1,KO,No,NT,Tallahassee,FL,Leon,30.445252,-84.305045,"30.445252, -84.305045",Austin Fife,E2019-4934-1,2019-07-16T00:00:00Z,16,Jul,2019
223,FSU 28,74,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445238,-84.304703,"30.445238, -84.304703",Austin Fife,E2019-4935-1,2019-07-16T00:00:00Z,16,Jul,2019
224,FSU 29,92,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445238,-84.304923,"30.445238, -84.304923",Austin Fife,E2019-4936-1,2019-07-16T00:00:00Z,16,Jul,2019
225,FSU 30,105,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445222,-84.304796,"30.445222, -84.304796",Austin Fife,E2019-4937-1,2019-07-16T00:00:00Z,16,Jul,2019
226,FSU 31,52,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445167,-84.30439,"30.445167, -84.30439",Austin Fife,E2019-4938-1,2019-07-16T00:00:00Z,16,Jul,2019
227,FSU 32,67,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.445219,-84.304648,"30.445219, -84.304648",Austin Fife,E2019-4939-1,2019-07-16T00:00:00Z,16,Jul,2019
228,FSU 33,107,Yes,0,KO,No,NT,Tallahassee,FL,Leon,30.444309,-84.2999,"30.444309, -84.2999",Austin Fife,E2019-4940-1,2019-07-16T00:00:00Z,16,Jul,2019
